Planet,SolarRadiation,AtmosphericComposition,DistanceFromStar,Habitability
Wibble,696.4691856,54.26359258,4.56270599,1
Bloopa,286.139335,6.677444323,2.798020184,0
Wibble,226.8514536,65.33648714,9.328916481,1
Ploink,551.3147691,99.60863274,3.143513536,1
Giggletron,719.4689698,76.93973371,9.09714662,1
Wobbletron,423.1064601,57.37741137,0.43418091,1
Planet Squee,980.7641984,10.26352592,7.071150603,0
Froozle,684.8297386,69.98340748,4.83889039,0
Gigglex,480.9319015,66.11678673,4.442210613,0
Giggletron,392.1175182,4.909713062,0.363233444,0
Whimsyland,343.1780162,79.22993018,0.406831905,0
Chucklestar,729.0497074,51.87165909,3.327536171,1
Noodletopia,438.5722447,42.58676942,9.471195399,0
Noodletopia,59.67789661,78.81871736,6.176599771,1
Guffaw-9,398.0442553,41.15692232,3.688748417,1
Wobbletron,737.9954057,48.10262755,6.119770391,1
Froozle,182.4917305,18.16288427,2.061315363,1
Zanysphere,175.4517561,32.13188995,1.650664428,1
Jestoria,531.5513738,84.55329966,3.618172655,0
Planet McPlanetface,531.8275871,18.69037489,8.633533515,1
Quirkos,634.4009586,41.72910609,5.094017274,0
Planet McPlanetface,849.4317941,98.90345074,2.969015161,0
Whimsyland,724.4553249,23.65998117,9.502516251,1
Giggletron,611.0235107,91.68323329,8.159660897,0
Planet Squee,722.4433826,91.83974678,3.229739428,0
Wibble,322.9589139,9.12963422,9.720982452,1
Wibble,361.7886556,46.36527249,9.873510978,1
Chucklestar,228.2632309,50.22163353,4.086601337,0
Zanysphere,293.7140464,31.36689501,6.559231029,0
Funkytown,630.9761239,4.733953724,4.056531985,0
Funkytown,92.10493995,24.16856372,2.573481057,1
Planet McPlanetface,433.7011727,9.552964156,0.82652676,1
Gigglex,430.8627633,23.82499057,2.636103461,0
Zigzaggle,493.6850977,80.77910863,2.714798535,0
Blorp,425.8302903,89.49782879,3.986390797,1
Snickertopia,312.261223,4.322289208,1.84886031,1
Jestoria,426.351307,30.19468363,9.538184033,1
Blorp,893.3891631,98.05821986,1.028798854,1
Froozle,944.1600182,53.95048226,6.252085331,0
Funkytown,501.8366759,62.63093617,4.41697388,1
Zanysphere,623.9529518,0.554540841,4.23518049,0
Chucklestar,115.6183951,48.49094434,3.719917829,1
Jestoria,317.2854818,98.83285346,8.683147102,1
Gigglex,414.826212,37.51855275,2.804769806,0
Zigzaggle,866.3091579,9.703815864,0.205761574,1
Ploink,250.4553654,46.19087616,9.18097016,1
Snickertopia,483.0342643,96.3004466,8.644802776,1
Wibble,985.5597856,34.18306136,2.7690179,1
Giggletron,519.4851193,79.89227332,5.234875483,0
Planet Squee,612.8945258,79.88463312,1.090881973,0
Quirkos,120.628666,20.82482967,0.934270688,1
Jestoria,826.3408005,44.33677018,8.374661084,1
Froozle,603.0601284,71.56012752,4.102657176,0
Ploink,545.0680065,41.05197854,6.617165402,0
Funkytown,342.7638338,19.10069554,9.432005585,0
Wibble,304.120789,96.74943068,2.451305916,0
Wobbletron,417.022211,65.07503665,0.131598313,0
Whimsyland,681.3007658,86.54598515,0.241484058,1
Guffaw-9,875.4568418,2.52423578,7.093856924,0
Snickertopia,510.4223375,26.69058148,9.245518848,0
Chucklestar,669.313783,50.20711003,4.67330273,1
Snickertopia,585.9365526,6.744863513,3.751091481,1
Wobbletron,624.9035021,99.30332611,5.428604247,1
Giggletron,674.689051,23.64623962,8.589168376,1
Blorp,842.3424376,37.42921823,6.521538738,0
Quirkos,83.19498833,21.40119149,2.329798967,0
Zanysphere,763.6828414,10.54458661,7.745802045,1
Planet McPlanetface,243.6663745,23.24797856,1.346134973,0
Whimsyland,194.2229606,30.06101355,1.655599707,0
Blorp,572.4569575,63.44422679,6.126822828,1
Ploink,95.71251661,28.12347815,2.387834061,1
Snickertopia,885.3268263,36.2276761,7.047785476,1
Wibble,627.2489721,0.594284372,3.495185274,1
Ploink,723.4163582,36.57191259,2.7742396,0
Wobbletron,16.1292067,53.38859817,9.98918406,1
Snickertopia,594.4318794,16.20158371,0.406161246,0
Zanysphere,556.7851924,59.74331084,6.458225217,1
Chucklestar,158.9596441,29.31524686,0.38699585,1
Noodletopia,153.0705151,63.20504948,7.602102579,0
Giggletron,695.5295288,2.619660525,2.300899575,1
Blorp,318.7664264,88.75934605,0.898318671,0
Gigglex,691.9702955,1.611863042,6.484497119,1
Jestoria,554.3832497,12.6958031,7.326012173,0
Froozle,388.9505741,77.71624616,6.780953149,0
Froozle,925.1324896,4.58952322,0.519009471,0
Bloopa,841.6699969,71.09986936,2.943069456,0
Planet McPlanetface,357.3975667,97.10461405,4.510883462,0
Planet Squee,43.5914638,87.16829331,2.871032897,0
Blorp,304.7680734,71.01616513,8.105134563,0
Zigzaggle,398.1856819,95.8509743,1.311151052,1
Wobbletron,704.9588305,42.98133379,6.121793617,0
Chucklestar,995.358482,87.28789143,9.882149436,0
Zanysphere,355.9148657,35.5957668,9.025565386,0
Ploink,762.5478138,92.97636529,2.221570625,1
Planet Squee,593.1769166,14.87776562,0.000818876,0
Whimsyland,691.7017987,94.00290149,9.805973421,0
Funkytown,151.1274523,83.27161973,8.827129847,1
Wibble,398.8762927,84.60548382,9.194724663,0
Jestoria,240.8558977,12.39230099,4.155035508,0
Quirkos,343.456014,59.64868983,7.446154622,0
Jestoria,513.1281542,1.639248088,2.128314986,1
Noodletopia,666.6245502,72.11843661,3.923040711,1
Ploink,105.9084851,0.773751413,8.515480514,0
Giggletron,130.8949507,8.482227745,1.276122242,1
Blorp,321.9806065,22.54984105,8.938653679,0
Zigzaggle,661.5643367,87.51245339,4.965079724,0
Wobbletron,846.5062253,36.3576318,4.260956554,1
Zanysphere,553.2573448,53.99599352,3.056463881,0
Bloopa,854.4524875,56.81032138,9.168487853,1
Guffaw-9,384.8378113,22.54633603,5.176234608,0
Bloopa,316.7878971,57.2146768,8.040263683,1
Giggletron,354.2646756,66.0951795,8.576517873,0
Gigglex,171.0818292,29.82453933,9.223823546,0
Snickertopia,829.1126345,41.8626859,3.03380734,1
Snickertopia,338.6708459,45.30889245,3.39810854,0
Snickertopia,552.3700753,93.23506615,5.950738763,1
Planet Squee,578.5514681,58.74937475,4.413241355,0
Giggletron,521.5330594,94.82523716,9.328425326,1
Whimsyland,2.688064574,55.60347538,3.975640516,0
Quirkos,988.3454193,50.05614208,4.777780484,1
Bloopa,905.3415757,0.353221097,6.171860886,0
Blorp,207.6358612,48.08890439,4.04739486,0
Zanysphere,292.4894128,92.74549986,9.924784359,1
Guffaw-9,520.0101531,19.8365689,0.988512846,1
Whimsyland,901.9113727,5.209113439,2.206033178,0
Planet Squee,983.6308849,40.67788935,3.226551311,0
Ploink,257.5420642,37.23964806,1.477228436,1
Zigzaggle,564.3590429,85.71530579,2.842192345,0
Guffaw-9,806.9686841,2.661111556,7.792452929,0
Noodletopia,394.370054,92.01492298,5.228920009,1
Zigzaggle,731.0730358,68.0902999,0.339536361,0
Planet McPlanetface,161.0690144,90.42259941,9.826225852,0
Planet McPlanetface,600.6985678,60.75290708,6.160064776,0
Noodletopia,865.8644583,81.19533124,0.589394786,1
Noodletopia,983.5216092,33.55438735,6.611687718,1
Blorp,79.36579038,34.9566228,3.783693707,1
Planet Squee,428.3472747,38.98742303,1.356732971,0
Giggletron,204.5428595,75.47970816,5.636645929,1
Guffaw-9,450.6364905,36.92911744,7.270799505,1
Chucklestar,547.7635726,24.22198065,6.711266045,0
Funkytown,93.32671037,93.76683568,2.475131535,1
Quirkos,296.8607755,90.80110837,5.248662215,1
Jestoria,927.5842402,34.87973161,5.376634441,0
Snickertopia,569.0037314,63.46380703,7.168033641,0
Gigglex,457.4119975,27.38422117,3.598673489,0
Quirkos,753.5259908,20.61151287,7.977325952,1
Planet McPlanetface,741.8621518,33.6339529,6.279218489,1
Froozle,48.57903284,32.70998926,0.38331607,1
Noodletopia,708.6973954,88.22761012,5.464790217,1
Whimsyland,839.2433478,82.23038147,8.619120954,1
Gigglex,165.9378842,70.96232286,5.675741626,1
Noodletopia,780.997938,95.93452253,1.758282655,0
Chucklestar,286.5366167,42.25433531,5.103763703,0
Chucklestar,306.4697533,24.50330386,7.569458365,0
Gigglex,665.2614653,11.73984372,1.101051964,0
Funkytown,111.3921716,30.10533582,8.170990787,1
Quirkos,664.8724488,14.5263734,1.674816412,0
Bloopa,887.8567927,9.218609737,5.340764922,0
Gigglex,696.3112682,60.29321967,3.857434824,0
Planet McPlanetface,440.3278767,36.41874498,2.486237675,1
Funkytown,438.2143844,56.45703426,6.47432513,0
Whimsyland,765.0960952,19.13357207,0.373921088,1
Bloopa,565.6420012,67.69058597,7.600458067,0
Wobbletron,84.90416319,21.55054473,5.269406387,0
Quirkos,582.6710879,27.80235937,8.757712105,0
Froozle,814.8437029,74.17604221,5.207183199,1
Funkytown,337.0663834,55.97378956,0.350331685,0
Planet Squee,927.5765796,33.48364129,1.436009689,1
Zanysphere,750.7170003,54.29887825,7.956045886,0
Funkytown,574.0638251,69.39847029,4.919760489,0
Wibble,751.6439888,91.21321215,4.418792715,0
Blorp,79.14896074,58.07132134,3.184347814,0
Wobbletron,859.3890757,23.26863789,2.845491983,0
Whimsyland,821.5041132,74.66976308,9.658863125,1
Gigglex,909.8716596,77.77690176,4.329693308,1
Zigzaggle,128.6311975,20.0401315,8.840030327,0
Jestoria,81.78008709,82.05742197,6.481631232,1
Zigzaggle,138.4155728,46.49348547,8.584276463,1
Wibble,399.3787101,77.97666621,8.524495448,1
Froozle,424.3068611,23.747822,9.563120278,0
Chucklestar,562.2183787,33.25802697,6.979422362,1
Noodletopia,122.2435496,95.36971193,8.053969354,1
Guffaw-9,201.3995014,65.78150731,7.331278954,1
Bloopa,811.6443483,77.28778305,6.052268359,0
Planet Squee,467.9875741,68.83743432,7.173541339,1
Zigzaggle,807.9382095,20.43041178,7.157504114,1
Ploink,7.426378545,47.06887484,0.40907793,1
Guffaw-9,551.592726,80.89638727,5.161108355,0
Quirkos,931.9321481,67.50351269,7.926513607,0
Guffaw-9,582.1754591,0.602788565,2.429621865,0
Guffaw-9,206.0957274,8.740774265,4.651479865,1
Ploink,717.7575623,34.67947202,4.34985711,0
Jestoria,378.9858497,94.43655396,4.027871693,0
Planet McPlanetface,668.3839473,49.1190481,1.218395278,1
Froozle,29.31972289,27.01762674,5.257115413,0
Bloopa,635.9003594,36.04237195,4.462483653,0
Bloopa,32.19793494,21.06526276,6.633927573,0
Wobbletron,744.7806551,42.12000572,5.494130588,1
Zanysphere,472.9130022,21.80354395,0.275429297,1
Zigzaggle,121.7543555,84.57525073,0.319179876,1
